cancellation_id,ride_pk,cancelled_by_customer,reason_customer,cancelled_by_driver,reason_driver
1,1,1,"Não aplicavel",1,"Não aplicavel"
2,2,1,"Não aplicavel",1,"Não aplicavel"
3,3,1,"Não aplicavel",1,"Não aplicavel"
4,4,1,"Não aplicavel",1,"Não aplicavel"
5,5,1,"Não aplicavel",1,"Não aplicavel"
6,6,1,"Não aplicavel",1,"Não aplicavel"
7,7,1,"Não aplicavel",1,"Não aplicavel"
8,8,1,"Não aplicavel",1,"Não aplicavel"
9,9,1,"Não aplicavel",1,"Não aplicavel"
10,10,1,"Não aplicavel",1,"Não aplicavel"
11,11,1,"Não aplicavel",1,"Não aplicavel"
12,12,1,"Não aplicavel",1,"Não aplicavel"
13,13,1,"Não aplicavel",1,"Personal & Car related issues"
14,14,1,"Não aplicavel",1,"Não aplicavel"
15,15,1,"Não aplicavel",1,"Não aplicavel"
16,16,1,"Não aplicavel",1,"Não aplicavel"
17,17,1,"Não aplicavel",1,"Não aplicavel"
18,18,1,"Não aplicavel",1,"Customer related issue"
19,19,1,"Driver is not moving towards pickup location",1,"Não aplicavel"
20,20,1,"Não aplicavel",1,"Customer related issue"
21,21,1,"Não aplicavel",1,"Não aplicavel"
22,22,1,"Não aplicavel",1,"Não aplicavel"
23,23,1,"Não aplicavel",1,"Não aplicavel"
24,24,1,"Não aplicavel",1,"Não aplicavel"
25,25,1,"Não aplicavel",1,"Não aplicavel"
26,26,1,"Não aplicavel",1,"Não aplicavel"
27,27,1,"Não aplicavel",1,"Personal & Car related issues"
28,28,1,"Não aplicavel",1,"Não aplicavel"
29,29,1,"Não aplicavel",1,"Não aplicavel"
30,30,1,"Não aplicavel",1,"Não aplicavel"
31,31,1,"Não aplicavel",1,"More than permitted people in there"
32,32,1,"Não aplicavel",1,"Não aplicavel"
33,33,1,"Não aplicavel",1,"Não aplicavel"
34,34,1,"Não aplicavel",1,"Não aplicavel"
35,35,1,"Não aplicavel",1,"Customer related issue"
36,36,1,"Não aplicavel",1,"Não aplicavel"
37,37,1,"Não aplicavel",1,"Não aplicavel"
38,38,1,"Não aplicavel",1,"Não aplicavel"
39,39,1,"Não aplicavel",1,"Não aplicavel"
40,40,1,"Driver is not moving towards pickup location",1,"Não aplicavel"
41,41,1,"Não aplicavel",1,"Personal & Car related issues"
42,42,1,"Não aplicavel",1,"Não aplicavel"
43,43,1,"Não aplicavel",1,"Não aplicavel"
44,44,1,"Não aplicavel",1,"More than permitted people in there"
45,45,1,"Não aplicavel",1,"Não aplicavel"
46,46,1,"Não aplicavel",1,"More than permitted people in there"
47,47,1,"Driver asked to cancel",1,"Não aplicavel"
48,48,1,"Não aplicavel",1,"Não aplicavel"
49,49,1,"Não aplicavel",1,"Não aplicavel"
50,50,1,"Não aplicavel",1,"Não aplicavel"
51,51,1,"Não aplicavel",1,"Não aplicavel"
52,52,1,"Não aplicavel",1,"Não aplicavel"
53,53,1,"Não aplicavel",1,"Não aplicavel"
54,54,1,"Não aplicavel",1,"Não aplicavel"
55,55,1,"Não aplicavel",1,"More than permitted people in there"
56,56,1,"Não aplicavel",1,"Não aplicavel"
57,57,1,"Não aplicavel",1,"More than permitted people in there"
58,58,1,"Não aplicavel",1,"Não aplicavel"
59,59,1,"Não aplicavel",1,"Não aplicavel"
60,60,1,"Não aplicavel",1,"Customer related issue"
61,61,1,"Não aplicavel",1,"Não aplicavel"
62,62,1,"Não aplicavel",1,"Não aplicavel"
63,63,1,"Driver is not moving towards pickup location",1,"Não aplicavel"
64,64,1,"Não aplicavel",1,"Customer related issue"
65,65,1,"Não aplicavel",1,"Não aplicavel"
66,66,1,"Não aplicavel",1,"More than permitted people in there"
67,67,1,"Não aplicavel",1,"Customer related issue"
68,68,1,"Não aplicavel",1,"Não aplicavel"
69,69,1,"Não aplicavel",1,"Não aplicavel"
70,70,1,"Não aplicavel",1,"Não aplicavel"
71,71,1,"Não aplicavel",1,"Não aplicavel"
72,72,1,"Não aplicavel",1,"Personal & Car related issues"
73,73,1,"Não aplicavel",1,"Não aplicavel"
74,74,1,"Não aplicavel",1,"Não aplicavel"
75,75,1,"Não aplicavel",1,"Não aplicavel"
76,76,1,"Não aplicavel",1,"Não aplicavel"
77,77,1,"Não aplicavel",1,"Não aplicavel"
78,78,1,"Não aplicavel",1,"Não aplicavel"
79,79,1,"Driver asked to cancel",1,"Não aplicavel"
80,80,1,"Não aplicavel",1,"Personal & Car related issues"
81,81,1,"Não aplicavel",1,"Não aplicavel"
82,82,1,"Não aplicavel",1,"More than permitted people in there"
83,83,1,"Não aplicavel",1,"Não aplicavel"
84,84,1,"Não aplicavel",1,"Não aplicavel"
85,85,1,"Não aplicavel",1,"Não aplicavel"
86,86,1,"Não aplicavel",1,"The customer was coughing/sick"
87,87,1,"Não aplicavel",1,"Não aplicavel"
88,88,1,"Não aplicavel",1,"Não aplicavel"
89,89,1,"Não aplicavel",1,"Não aplicavel"
90,90,1,"Não aplicavel",1,"Não aplicavel"
91,91,1,"Não aplicavel",1,"Não aplicavel"
92,92,1,"Não aplicavel",1,"Não aplicavel"
93,93,1,"Não aplicavel",1,"Não aplicavel"
94,94,1,"Não aplicavel",1,"Não aplicavel"
95,95,1,"Não aplicavel",1,"Não aplicavel"
96,96,1,"Não aplicavel",1,"More than permitted people in there"
97,97,1,"Não aplicavel",1,"Não aplicavel"
98,98,1,"Não aplicavel",1,"Não aplicavel"
99,99,1,"Não aplicavel",1,"Não aplicavel"
100,100,1,"AC is not working",1,"Não aplicavel"
101,101,1,"Não aplicavel",1,"Não aplicavel"
102,102,1,"Não aplicavel",1,"Personal & Car related issues"
103,103,1,"Não aplicavel",1,"Não aplicavel"
104,104,1,"Não aplicavel",1,"Não aplicavel"
105,105,1,"Não aplicavel",1,"Não aplicavel"
106,106,1,"Não aplicavel",1,"Não aplicavel"
107,107,1,"Driver asked to cancel",1,"Não aplicavel"
108,108,1,"Não aplicavel",1,"Não aplicavel"
109,109,1,"Não aplicavel",1,"Não aplicavel"
110,110,1,"Não aplicavel",1,"Não aplicavel"
111,111,1,"Não aplicavel",1,"Não aplicavel"
112,112,1,"Não aplicavel",1,"Não aplicavel"
113,113,1,"Não aplicavel",1,"Não aplicavel"
114,114,1,"Não aplicavel",1,"Não aplicavel"
115,115,1,"Não aplicavel",1,"Não aplicavel"
116,116,1,"Driver asked to cancel",1,"Não aplicavel"
117,117,1,"Change of plans",1,"Não aplicavel"
118,118,1,"Não aplicavel",1,"Não aplicavel"
119,119,1,"Não aplicavel",1,"Personal & Car related issues"
120,120,1,"Não aplicavel",1,"Não aplicavel"
121,121,1,"Não aplicavel",1,"Não aplicavel"
122,122,1,"Não aplicavel",1,"The customer was coughing/sick"
123,123,1,"Não aplicavel",1,"Não aplicavel"
124,124,1,"Não aplicavel",1,"Não aplicavel"
125,125,1,"Não aplicavel",1,"Não aplicavel"
126,126,1,"Não aplicavel",1,"Não aplicavel"
127,127,1,"Não aplicavel",1,"Não aplicavel"
128,128,1,"Não aplicavel",1,"Não aplicavel"
129,129,1,"Não aplicavel",1,"Não aplicavel"
130,130,1,"Não aplicavel",1,"Não aplicavel"
131,131,1,"Não aplicavel",1,"Não aplicavel"
132,132,1,"Não aplicavel",1,"Não aplicavel"
133,133,1,"Não aplicavel",1,"The customer was coughing/sick"
134,134,1,"Não aplicavel",1,"Não aplicavel"
135,135,1,"Não aplicavel",1,"Não aplicavel"
136,136,1,"Não aplicavel",1,"Não aplicavel"
137,137,1,"Não aplicavel",1,"Não aplicavel"
138,138,1,"Não aplicavel",1,"Não aplicavel"
139,139,1,"Não aplicavel",1,"Não aplicavel"
140,140,1,"Não aplicavel",1,"Não aplicavel"
141,141,1,"Não aplicavel",1,"Não aplicavel"
142,142,1,"Não aplicavel",1,"Não aplicavel"
143,143,1,"Não aplicavel",1,"Não aplicavel"
144,144,1,"Não aplicavel",1,"Não aplicavel"
145,145,1,"Wrong Address",1,"Não aplicavel"
146,146,1,"Não aplicavel",1,"Não aplicavel"
147,147,1,"Não aplicavel",1,"Não aplicavel"
148,148,1,"Não aplicavel",1,"Não aplicavel"
149,149,1,"Não aplicavel",1,"Não aplicavel"
150,150,1,"Driver asked to cancel",1,"Não aplicavel"
151,151,1,"Não aplicavel",1,"Não aplicavel"
152,152,1,"Não aplicavel",1,"Customer related issue"
153,153,1,"Não aplicavel",1,"Não aplicavel"
154,154,1,"Change of plans",1,"Não aplicavel"
155,155,1,"Não aplicavel",1,"Não aplicavel"
156,156,1,"Não aplicavel",1,"More than permitted people in there"
157,157,1,"Change of plans",1,"Não aplicavel"
158,158,1,"Driver asked to cancel",1,"Não aplicavel"
159,159,1,"Não aplicavel",1,"Não aplicavel"
160,160,1,"Não aplicavel",1,"Não aplicavel"
161,161,1,"Não aplicavel",1,"Não aplicavel"
162,162,1,"Não aplicavel",1,"Não aplicavel"
163,163,1,"Não aplicavel",1,"Não aplicavel"
164,164,1,"Não aplicavel",1,"Não aplicavel"
165,165,1,"Não aplicavel",1,"Não aplicavel"
166,166,1,"Não aplicavel",1,"Não aplicavel"
167,167,1,"Não aplicavel",1,"Não aplicavel"
168,168,1,"Não aplicavel",1,"The customer was coughing/sick"
