ride_pk,ride_id,customer_id,driver_id,booking_status,date,time,pickup_location,drop_location,ride_distance,booking_value,payment_method,customer_rating,avg_vtat_tratado,avg_ctat_tratado
1,""CNR5884300"",""CID1982111"",1,"No Driver Found",2024-03-23,00:00:12,"Palam Vihar",Jhilmil,0.00,0.00,"Não informado",0,8.49,29.14
2,""CNR1326809"",""CID4604802"",2,Incomplete,2024-11-29,00:00:18,"Shastri Nagar","Gurgaon Sector 56",5.73,237.00,UPI,0,4.90,14.00
3,""CNR8494506"",""CID9202816"",3,Completed,2024-08-23,00:00:08,Khandsa,"Malviya Nagar",13.58,627.00,"Debit Card",5,13.40,25.80
4,""CNR8906825"",""CID2610914"",4,Completed,2024-10-21,00:00:17,"Central Secretariat",Inderlok,34.02,416.00,UPI,5,13.10,28.50
5,""CNR1950162"",""CID9933542"",5,Completed,2024-09-16,00:00:22,"Ghitorni Village","Khan Market",48.21,737.00,UPI,4,5.30,19.60
6,""CNR4096693"",""CID4670564"",6,Completed,2024-02-06,00:00:09,AIIMS,Narsinghpur,4.85,316.00,UPI,5,5.10,18.10
7,""CNR2002539"",""CID6800553"",7,Completed,2024-06-17,00:00:15,Vaishali,"Punjabi Bagh",41.24,640.00,UPI,4,7.10,20.40
8,""CNR6568000"",""CID8610436"",6,Completed,2024-03-19,00:00:17,"Mayur Vihar","Cyber Hub",6.56,136.00,UPI,4,12.10,16.50
9,""CNR4510807"",""CID7873618"",2,"No Driver Found",2024-09-14,00:00:12,"Noida Sector 62","Noida Sector 18",0.00,0.00,"Não informado",0,8.49,29.14
10,""CNR7721892"",""CID5214275"",8,Incomplete,2024-12-16,00:00:19,Rohini,"Adarsh Nagar",10.36,135.00,Cash,0,6.10,26.00
11,""CNR9070334"",""CID6680340"",6,Completed,2024-06-14,00:00:16,"Udyog Bhawan","Dwarka Sector 21",19.84,181.00,Cash,5,7.70,18.90
12,""CNR9551927"",""CID7568143"",8,"No Driver Found",2024-09-18,00:00:08,"Vidhan Sabha",AIIMS,0.00,0.00,"Não informado",0,8.49,29.14
13,""CNR4386945"",""CID5543520"",1,"Cancelled by Driver",2024-06-25,00:00:22,"Patel Chowk","Kherki Daula Toll",0.00,0.00,"Não informado",0,4.60,29.14
14,""CNR2987763"",""CID2669710"",7,Completed,2024-09-11,00:00:19,"Malviya Nagar","Ghitorni Village",21.44,394.00,UPI,5,12.20,28.20
15,""CNR8962232"",""CID1789354"",9,Completed,2024-10-18,00:00:18,Madipur,"GTB Nagar",39.55,836.00,UPI,4,14.00,30.90
16,""CNR2390352"",""CID5432215"",6,Completed,2024-06-07,00:00:15,"Jama Masjid","Khan Market",34.76,410.00,"Uber Wallet",5,8.50,36.90
17,""CNR3221338"",""CID2581698"",4,Completed,2024-07-01,00:00:10,"IGI Airport",Madipur,21.97,401.00,UPI,4,5.60,27.50
18,""CNR6739317"",""CID8682675"",2,"Cancelled by Driver",2024-12-15,00:00:15,Vinobapuri,"GTB Nagar",0.00,0.00,"Não informado",0,6.00,29.14
19,""CNR6126048"",""CID1060329"",1,"Cancelled by Customer",2024-11-24,00:00:09,"Kashmere Gate","Anand Vihar",0.00,0.00,"Não informado",0,12.40,29.14
20,""CNR9465840"",""CID9046501"",1,"Cancelled by Driver",2024-05-24,00:00:19,Pitampura,"Rajiv Nagar",0.00,0.00,"Não informado",0,10.30,29.14
21,""CNR9843229"",""CID4929303"",10,Completed,2024-12-14,00:00:21,"Punjabi Bagh","Mansarovar Park",13.64,264.00,"Uber Wallet",5,6.10,33.70
22,""CNR7911434"",""CID8465004"",3,Completed,2024-07-29,00:00:06,"Greater Noida","Botanical Garden",4.50,183.00,UPI,4,7.00,21.30
23,""CNR6178330"",""CID7719678"",7,Completed,2024-02-23,00:00:11,"Tis Hazari","IMT Manesar",38.03,713.00,UPI,4,10.40,25.10
24,""CNR5309981"",""CID3870048"",9,Completed,2024-03-09,00:00:20,"Noida Sector 18","Old Gurgaon",14.53,113.00,UPI,5,7.90,41.10
25,""CNR2978950"",""CID2977484"",6,Completed,2024-08-28,00:00:16,"Kanhaiya Nagar","Anand Vihar",7.39,767.00,"Debit Card",5,13.60,25.20
26,""CNR2806943"",""CID7550481"",11,Completed,2024-08-08,00:00:06,Okhla,"Barakhamba Road",10.23,495.00,"Credit Card",4,5.10,20.70
27,""CNR3614535"",""CID2507102"",8,"Cancelled by Driver",2024-01-26,00:00:09,"Cyber Hub",Saket,0.00,0.00,"Não informado",0,11.50,29.14
28,""CNR4499383"",""CID5717521"",12,"No Driver Found",2024-04-12,00:00:19,"Sadar Bazar Gurgaon",Mehrauli,0.00,0.00,"Não informado",0,8.49,29.14
29,""CNR9834201"",""CID7891331"",13,Incomplete,2024-04-05,00:00:18,"Shastri Park","Botanical Garden",1.98,304.00,UPI,0,3.10,28.20
30,""CNR8779845"",""CID7444351"",14,Completed,2024-11-03,00:00:12,"Faridabad Sector 15","Malviya Nagar",39.21,2847.00,"Debit Card",5,8.90,31.10
31,""CNR2178654"",""CID3631860"",15,"Cancelled by Driver",2024-05-18,00:00:17,"Qutub Minar",Vishwavidyalaya,0.00,0.00,"Não informado",0,9.20,29.14
32,""CNR3871541"",""CID9849259"",7,Completed,2024-11-15,00:00:05,Mundka,"Preet Vihar",8.36,282.00,UPI,4,8.90,41.00
33,""CNR2877692"",""CID5901711"",4,Completed,2024-02-04,00:00:18,"DLF City Court","Nehru Place",6.39,656.00,"Uber Wallet",5,11.50,20.50
34,""CNR9603633"",""CID5856503"",6,Completed,2024-05-29,00:00:14,"Tis Hazari",Shahdara,46.66,134.00,"Credit Card",4,2.00,19.40
35,""CNR8087051"",""CID9716528"",2,"Cancelled by Driver",2024-07-13,00:00:19,"New Colony","Ghitorni Village",0.00,0.00,"Não informado",0,5.40,29.14
36,""CNR7823292"",""CID9377721"",10,Completed,2024-06-07,00:00:19,"Nirman Vihar","Malviya Nagar",27.07,470.00,Cash,4,14.60,25.40
37,""CNR9918895"",""CID9520433"",3,Completed,2024-05-16,00:00:13,"New Delhi Railway Station","Noida Film City",12.16,187.00,UPI,4,6.70,20.50
38,""CNR7401001"",""CID9958715"",16,Completed,2024-10-02,00:00:03,"Civil Lines Gurgaon","Mandi House",10.28,186.00,UPI,5,6.60,30.00
39,""CNR2631310"",""CID4355670"",17,Completed,2024-02-26,00:00:15,Seelampur,Janakpuri,44.42,70.00,UPI,4,10.00,35.80
40,""CNR4218487"",""CID3037053"",13,"Cancelled by Customer",2024-09-10,00:00:13,"Noida Extension","Udyog Vihar Phase 4",0.00,0.00,"Não informado",0,11.00,29.14
41,""CNR5333099"",""CID5112050"",8,"Cancelled by Driver",2024-09-12,00:00:09,"Adarsh Nagar","Civil Lines Gurgaon",0.00,0.00,"Não informado",0,8.00,29.14
42,""CNR5969954"",""CID5558118"",3,Completed,2024-01-24,00:00:10,Vinobapuri,Karkarduma,34.64,273.00,"Uber Wallet",5,12.80,18.70
43,""CNR4130953"",""CID3196782"",12,Incomplete,2024-02-12,00:00:19,Panipat,"Tagore Garden",18.30,966.00,"Debit Card",0,6.40,10.50
44,""CNR6693125"",""CID7364449"",8,"Cancelled by Driver",2024-10-02,00:00:19,"Karol Bagh","Tagore Garden",0.00,0.00,"Não informado",0,5.40,29.14
45,""CNR9572979"",""CID3474992"",10,Completed,2024-04-01,00:00:21,Sultanpur,"Noida Extension",20.91,251.00,"Debit Card",4,12.20,42.30
46,""CNR6444364"",""CID8262635"",15,"Cancelled by Driver",2024-09-18,00:00:21,"Moti Nagar","Anand Vihar ISBT",0.00,0.00,"Não informado",0,6.60,29.14
47,""CNR4862806"",""CID7875150"",8,"Cancelled by Customer",2024-08-02,00:00:07,"Shastri Park","Anand Vihar ISBT",0.00,0.00,"Não informado",0,11.30,29.14
48,""CNR4674790"",""CID4795905"",13,Incomplete,2024-09-30,00:00:13,"Dilshad Garden","Nehru Place",19.24,453.00,"Debit Card",0,2.30,29.70
49,""CNR6866217"",""CID7798304"",10,Completed,2024-06-16,00:00:00,"Dilshad Garden","Nehru Place",8.13,246.00,UPI,5,7.80,42.20
50,""CNR4932611"",""CID8795963"",6,Completed,2024-09-18,00:00:09,"Aya Nagar",Karkarduma,2.96,237.00,UPI,3,8.80,25.20
51,""CNR1572483"",""CID6059557"",15,Incomplete,2024-05-04,00:00:21,"Rajiv Chowk","Central Secretariat",1.82,1581.00,Cash,0,9.90,21.60
52,""CNR6945858"",""CID9079088"",7,Completed,2024-06-03,00:00:18,"MG Road","Hauz Rani",33.04,379.00,"Uber Wallet",5,4.10,25.10
53,""CNR6584679"",""CID4738537"",7,Completed,2024-10-03,00:00:22,Jasola,"Palam Vihar",44.70,545.00,Cash,4,11.20,40.70
54,""CNR6125653"",""CID2808212"",7,Completed,2024-05-25,00:00:11,"Kashmere Gate","RK Puram",7.38,479.00,UPI,5,3.00,35.40
55,""CNR6092529"",""CID5040634"",2,"Cancelled by Driver",2024-03-04,00:00:17,"Ardee City","Basai Dhankot",0.00,0.00,"Não informado",0,11.20,29.14
56,""CNR6339107"",""CID7358763"",7,Completed,2024-11-10,00:00:05,"Punjabi Bagh",Madipur,24.93,647.00,"Uber Wallet",5,9.10,23.20
57,""CNR1349015"",""CID9386278"",8,"Cancelled by Driver",2024-09-11,00:00:10,Meerut,Badarpur,0.00,0.00,"Não informado",0,4.30,29.14
58,""CNR9773309"",""CID9965847"",18,"No Driver Found",2024-04-11,00:00:15,"Anand Vihar ISBT","Dwarka Sector 21",0.00,0.00,"Não informado",0,8.49,29.14
59,""CNR2107544"",""CID1266188"",16,Completed,2024-06-01,00:00:10,"Mayur Vihar","Palam Vihar",25.16,125.00,"Credit Card",5,11.40,42.10
60,""CNR4171959"",""CID8470723"",12,"Cancelled by Driver",2024-05-09,00:00:10,"Lajpat Nagar","Ramesh Nagar",0.00,0.00,"Não informado",0,6.30,29.14
61,""CNR5316307"",""CID1816553"",19,Completed,2024-07-30,00:00:12,Tughlakabad,Akshardham,48.85,375.00,Cash,3,12.40,21.50
62,""CNR3635865"",""CID6477355"",3,Completed,2024-02-25,00:00:16,"Cyber Hub","Yamuna Bank",24.41,310.00,"Debit Card",4,11.70,33.00
63,""CNR2497989"",""CID5007066"",8,"Cancelled by Customer",2024-02-09,00:00:11,Karkarduma,"IGI Airport",0.00,0.00,"Não informado",0,16.60,29.14
64,""CNR8946337"",""CID6438326"",2,"Cancelled by Driver",2024-03-02,00:00:04,"Shastri Nagar","New Colony",0.00,0.00,"Não informado",0,5.40,29.14
65,""CNR3740694"",""CID5885514"",8,Incomplete,2024-08-27,00:00:18,"Aya Nagar","Green Park",13.85,370.00,Cash,0,2.30,10.10
66,""CNR4660896"",""CID5486947"",12,"Cancelled by Driver",2024-03-08,00:00:09,"Dwarka Mor",ITO,0.00,0.00,"Não informado",0,5.80,29.14
67,""CNR2513330"",""CID7805280"",12,"Cancelled by Driver",2024-03-20,00:00:09,"Adarsh Nagar","Noida Extension",0.00,0.00,"Não informado",0,6.70,29.14
68,""CNR9252424"",""CID9413620"",20,Completed,2024-01-25,00:00:12,"Vidhan Sabha",Mehrauli,3.71,291.00,UPI,4,12.10,18.10
69,""CNR3096031"",""CID3101926"",6,Completed,2024-04-11,00:00:11,"Anand Vihar",Saket,32.98,114.00,"Uber Wallet",5,5.80,24.30
70,""CNR4141159"",""CID6810411"",9,Completed,2024-06-17,00:00:20,"Uttam Nagar","New Delhi Railway Station",11.20,464.00,Cash,4,4.00,44.50
71,""CNR6757829"",""CID8433663"",10,Completed,2024-07-29,00:00:19,"Model Town",Mundka,45.40,160.00,Cash,5,3.40,27.10
72,""CNR6204326"",""CID9419495"",8,"Cancelled by Driver",2024-12-22,00:00:10,"Mandi House","India Gate",0.00,0.00,"Não informado",0,11.10,29.14
73,""CNR3347993"",""CID4871438"",17,Completed,2024-12-21,00:00:21,Ghitorni,Pitampura,28.78,206.00,Cash,4,9.90,38.50
74,""CNR6796311"",""CID1880505"",15,Incomplete,2024-02-23,00:00:11,"Ghitorni Village","Palam Vihar",2.81,217.00,"Credit Card",0,5.90,17.20
75,""CNR3908312"",""CID8787746"",21,Completed,2024-05-05,00:00:21,Okhla,"Netaji Subhash Place",17.34,633.00,"Credit Card",5,8.10,37.30
76,""CNR9416323"",""CID1025742"",6,Completed,2024-11-08,00:00:17,"DLF City Court","Udyog Vihar Phase 4",9.38,717.00,UPI,5,6.10,28.20
77,""CNR2912296"",""CID8094609"",22,Completed,2024-12-26,00:00:21,"Rajiv Nagar","Ramesh Nagar",11.90,151.00,UPI,5,6.00,26.70
78,""CNR4611314"",""CID6968311"",16,Completed,2024-09-05,00:00:07,"Sohna Road","New Delhi Railway Station",35.66,512.00,UPI,5,5.00,34.70
79,""CNR2601752"",""CID9283370"",2,"Cancelled by Customer",2024-11-25,00:00:08,"Sadar Bazar Gurgaon",Indraprastha,0.00,0.00,"Não informado",0,12.00,29.14
80,""CNR5793527"",""CID5705499"",12,"Cancelled by Driver",2024-08-15,00:00:18,"Anand Vihar ISBT",Rohini,0.00,0.00,"Não informado",0,3.20,29.14
81,""CNR4487090"",""CID1210782"",4,Completed,2024-02-10,00:00:09,"Lajpat Nagar","Chirag Delhi",21.79,1390.00,UPI,5,9.60,39.10
82,""CNR5266935"",""CID2831708"",12,"Cancelled by Driver",2024-09-26,00:00:11,Bahadurgarh,"Pataudi Chowk",0.00,0.00,"Não informado",0,3.90,29.14
83,""CNR1487489"",""CID3403699"",5,Completed,2024-07-01,00:00:17,Moolchand,"Karol Bagh",7.86,224.00,Cash,4,3.90,23.00
84,""CNR6351034"",""CID2038230"",3,Completed,2024-10-19,00:00:16,"Uttam Nagar",Vaishali,18.04,708.00,UPI,5,8.40,31.30
85,""CNR7600870"",""CID7289498"",6,Completed,2024-02-09,00:00:10,"INA Market","IFFCO Chowk",15.18,153.00,"Uber Wallet",4,7.70,43.70
86,""CNR5444321"",""CID3326946"",13,"Cancelled by Driver",2024-03-31,00:00:12,"Sushant Lok","Noida Sector 62",0.00,0.00,"Não informado",0,6.30,29.14
